Tract,Population,Households,PM25,Ozone,Diesel_PM,NO2,Toxic_Air_Releases,Superfund_Prox,RMP_Prox,HazWaste_Prox,Percent_HHLeadPaint,Traffic_Prox,DW_Noncomp,WW_Discharge,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,cluster,Is_DAC
36047031401,5223.0,1828.0,37.0,66.0,98.0,87.0,43.0,62.0,0.0,85.0,77.0,83.0,93.0,0.0,92.37,82.53,63.39,91.25,1,1
36047031500,5316.0,2464.0,45.0,70.0,98.0,99.0,43.0,93.0,0.0,95.0,98.0,92.0,93.0,80.0,40.47,2.0500000000000003,72.56,90.51,3,1
36047031701,4558.0,1584.0,45.0,70.0,98.0,99.0,43.0,92.0,0.0,95.0,96.0,91.0,93.0,80.0,55.08,11.91,82.62,63.3,3,0
36047031702,3918.0,1613.0,44.0,70.0,98.0,99.0,43.0,92.0,0.0,94.0,94.0,91.0,93.0,79.0,35.78,6.2,73.1,76.0,3,0
36047031900,3175.0,1252.0,44.0,70.0,98.0,98.0,43.0,91.0,0.0,94.0,87.0,90.0,93.0,79.0,55.36,53.54,64.64,85.57000000000001,0,0
36047032100,5168.0,2337.0,44.0,70.0,98.0,98.0,43.0,91.0,0.0,94.0,99.0,90.0,93.0,79.0,70.52000000000001,34.31,84.04,97.38,0,0
36047032300,3256.0,1542.0,44.0,70.0,98.0,99.0,43.0,92.0,0.0,94.0,99.0,90.0,93.0,79.0,69.39999999999999,25.61,86.53,35.97,0,0
36047032500,6119.0,2530.0,44.0,70.0,98.0,98.0,43.0,92.0,0.0,94.0,87.0,90.0,93.0,79.0,80.51,41.58,85.59,74.58,0,0
36047032600,8110.0,2808.0,36.0,66.0,94.0,68.0,43.0,56.0,0.0,92.0,54.0,71.0,93.0,0.0,94.15,94.03,92.31,88.21,1,1
36047032700,2687.0,1352.0,44.0,69.0,98.0,98.0,43.0,91.0,0.0,94.0,97.0,90.0,93.0,79.0,59.62,7.430000000000001,82.27,90.53,3,1
36047032800,2917.0,1164.0,36.0,66.0,93.0,73.0,43.0,59.0,0.0,81.0,44.0,69.0,93.0,0.0,95.04,98.42,88.84,83.82,1,1
36047032900,6033.0,2165.0,44.0,70.0,98.0,96.0,43.0,91.0,0.0,93.0,98.0,89.0,93.0,78.0,65.23,30.78,77.08,92.14,0,0
36047033000,4774.0,1800.0,36.0,66.0,93.0,75.0,43.0,60.0,0.0,80.0,48.0,69.0,93.0,0.0,78.66,99.95,86.3,77.24,1,1
36047033100,4192.0,1667.0,43.0,70.0,98.0,96.0,42.0,91.0,0.0,93.0,99.0,88.0,93.0,78.0,87.72,27.37,70.91,96.02,0,0
36047033300,4802.0,1347.0,44.0,70.0,98.0,96.0,42.0,91.0,0.0,94.0,94.0,89.0,93.0,78.0,80.76,53.03,49.05,99.25,0,0
36047033500,3221.0,918.0,44.0,70.0,98.0,97.0,42.0,91.0,0.0,94.0,98.0,89.0,93.0,78.0,73.63,17.11,63.24,99.89,3,0
36047033600,5269.0,1584.0,36.0,66.0,93.0,75.0,43.0,58.0,0.0,75.0,89.0,67.0,93.0,0.0,74.85000000000001,85.22999999999999,49.15,80.7,1,0
36047033701,2710.0,916.0,44.0,70.0,98.0,97.0,43.0,92.0,0.0,94.0,99.0,90.0,93.0,79.0,85.41,69.26,68.37,96.97,0,1
36047033702,1750.0,476.0,44.0,70.0,98.0,97.0,42.0,91.0,0.0,94.0,93.0,90.0,93.0,79.0,90.41,41.370000000000005,43.48,97.88,0,1
36047033900,4816.0,2024.0,44.0,70.0,98.0,97.0,42.0,92.0,0.0,94.0,90.0,90.0,93.0,79.0,78.01,94.82,84.44,86.36,0,1
36047034000,2071.0,630.0,35.0,66.0,94.0,65.0,43.0,0.0,0.0,80.0,84.0,65.0,93.0,0.0,86.4,99.53,75.44999999999999,98.09,1,1
36047034100,2991.0,1205.0,44.0,70.0,98.0,98.0,43.0,92.0,0.0,94.0,98.0,90.0,93.0,79.0,59.74,61.84,85.87,95.02,0,1
36047034200,6735.0,2832.0,36.0,66.0,93.0,71.0,43.0,0.0,0.0,81.0,45.0,66.0,93.0,0.0,93.76,99.97,79.97999999999999,95.85,1,1
36047034300,4726.0,1970.0,44.0,71.0,98.0,97.0,42.0,92.0,0.0,94.0,97.0,89.0,93.0,79.0,94.95,97.08,92.17,89.4,0,1
36047034500,2661.0,1037.0,43.0,70.0,98.0,97.0,42.0,92.0,0.0,94.0,96.0,90.0,93.0,78.0,74.51,7.7,78.66,86.11,0,1
36047034700,3312.0,1825.0,42.0,71.0,98.0,97.0,42.0,92.0,0.0,93.0,86.0,90.0,93.0,78.0,92.04,81.47999999999999,92.31,82.84,0,1
36047034800,2491.0,817.0,36.0,66.0,95.0,72.0,43.0,60.0,0.0,92.0,78.0,79.0,93.0,0.0,98.93,53.11,85.87,90.08,1,1
36047034901,1996.0,770.0,42.0,71.0,98.0,97.0,42.0,92.0,0.0,93.0,97.0,90.0,93.0,78.0,90.99,6.61,91.96,71.72,0,1
36047034902,4013.0,1587.0,42.0,71.0,98.0,97.0,42.0,91.0,0.0,93.0,97.0,89.0,93.0,78.0,73.57000000000001,71.21,90.6,97.21,0,1
36047035000,3154.0,1557.0,35.0,66.0,94.0,65.0,42.0,59.0,0.0,89.0,43.0,74.0,93.0,0.0,53.14,85.78,0.2299999999999999,72.27,1,0
36047035101,1885.0,687.0,43.0,71.0,98.0,97.0,42.0,92.0,0.0,93.0,94.0,90.0,93.0,78.0,95.74,75.33,95.77,95.76,0,1
36047035102,3179.0,1029.0,43.0,71.0,98.0,97.0,42.0,91.0,0.0,93.0,98.0,89.0,93.0,78.0,83.21,98.22,78.19,93.04,0,1
36047035200,1439.0,693.0,35.0,66.0,94.0,70.0,42.0,0.0,0.0,91.0,66.0,68.0,93.0,0.0,67.71000000000001,89.17,50.14999999999999,78.71000000000001,1,1
36047035301,2860.0,1129.0,43.0,71.0,98.0,97.0,42.0,92.0,0.0,93.0,96.0,89.0,93.0,78.0,99.1,24.66,92.17,97.16,0,1
36047035302,3304.0,987.0,43.0,71.0,98.0,97.0,42.0,91.0,0.0,93.0,99.0,89.0,93.0,78.0,55.54,83.08,84.44,90.71,0,1
