Tract,Is_DAC,Pollution_Score,Hazardprox_Score,Vulnerability_Percentile,Cumulative_Burden_Score,Weighted_Burden_Norm,Cluster
36005004400,1,75.33333333333333,66.8,99.87,80.66777777777777,0.282256667202049,0.0
36005004600,1,75.33333333333333,65.8,99.62,80.25111111111111,0.1078066629283704,0.0
36005004800,1,75.5,77.0,99.83,84.11,0.2730872372064789,0.0
36005005001,1,75.5,70.2,99.77,81.82333333333332,0.28461657380851346,0.0
36005005002,1,75.5,77.6,99.55,84.21666666666665,0.41493109745924833,0.0
36005005100,1,77.0,73.4,99.72,83.37333333333333,0.41242778242465616,0.0
36005005200,1,75.33333333333333,70.0,94.76,80.0311111111111,0.1177560845786935,0.0
36005005300,1,76.16666666666667,69.0,96.98,80.71555555555557,0.3308270567455835,0.0
36005005400,1,75.5,78.2,98.82,84.17333333333333,0.3665498087573238,0.0
36005005600,1,75.66666666666667,77.8,97.38,83.61555555555556,0.14724117065925857,0.0
36005005902,1,76.83333333333333,75.0,92.87,81.56777777777778,0.18260499732920055,0.0
36005006000,1,75.83333333333333,77.6,93.42,82.28444444444445,0.08132048384334918,0.0
36005006100,1,76.83333333333333,65.4,73.64,71.95777777777778,0.21208328656907124,0.0
36005006200,1,75.66666666666667,76.4,98.8,83.62222222222222,0.3961364529132063,0.0
36005006301,1,76.83333333333333,80.0,95.31,84.04777777777777,0.37432858042489076,0.0
36005006400,1,75.66666666666667,74.4,98.9,82.9888888888889,0.24838974733122318,0.0
36005006500,1,77.0,64.0,99.44,80.14666666666666,0.3436407168470404,0.0
36005006700,1,76.66666666666667,74.8,99.29,83.58555555555556,0.43162933743208226,0.0
